# This file contains routing test cases for the routetest script.
# Each line corresponds to one test case and has the following format:
#
# name from_lon from_lat to_lon to_lat
#
# where:
# name is the name of the test case. Whitespaces are not allowed, and dashes should be avoided (we use them as field separators in filenames).
# from_lon and from_lat are the start coordinates, in a format accepted by Navit's dbus interface (decimal works). Note that lon is first!
# to_lon and to_lat are the coordiates for the destination, same rules as above apply.
#
# Lines starting with # are comment lines and will be ignored. Empty lines will also be skipped.


# Tests for missing or unnecessary announcements

Emeryville -122.2937179811110866 37.8439930619099130 -122.2647238525362638 37.8233168235070281
#problem as of pre-r5934 (might be fixed in r5934 already)
Petuelring 11.5750121 48.1781212 11.5719105 48.178083
#no control for this one

#problem as of r5934
Nuernberg_S 11.18529 49.4700395 11.1957442 49.4099119
#control
Nuernberg_E 11.18529 49.4700395 11.2694876 49.4374417

# slight left turn (other option being sharp left turn)
Ichostrasse_S 11.5797705 48.1158902 11.5766389 48.1147486
# sharp left turn (other option being slight left turn)
Ichostrasse_SE 11.5797705 48.1158902 11.5784323 48.1154427

# interchange with exit, going to other motorway (expected: keep right)
Merelbeke_R4 3.8298204583910644 50.97222317339164 3.751473665864085 51.010994974398095
# interchange with exit, leaving motorway (expected: exit right)
Merelbeke_Exit 3.8298204583910644 50.97222317339164 3.778962199734684 51.00518871028347

# interchange with distributor lanes
Brugge 3.2515552 51.1386845 3.2098421 51.1720398

# expected: keep left
Imst_A12_W 10.7519953 47.2227609 10.5872366 47.1673728
# control (expected: keep right)
Imst_A12_E 10.7519953 47.2227609 10.8440223 47.237412


# Tests for U-turn maneuvers

# single-pass U turn where separate carriageways join (expected: U turn)
Kruishoutem 3.4905054 50.9148007 3.5010574 50.9187998

# two-pass U turn
Effnerplatz 11.6165189 48.1550317 11.6170732 48.1547549


# Tests for roundabouts

# expected: go straight
Aalter_straight 3.4562561 51.0740589 3.4452393 51.0809038
# expected: turn right (or easily right)
Aalter_right 3.4562561 51.0740589 3.4497076 51.0777988
# expected: turn left (or easily left)
Aalter_left 3.4562561 51.0740589 3.4473245 51.0759766
# expected: turn sharply left
Aalter_sharp_left 3.4562561 51.0740589 3.4507689 51.073972
# expected: turn around
Aalter_turnaround 3.4562561 51.0740589 3.4527975 51.075398

# expected: go straight/slightly left (counterclockwise)
Lucca_straight 10.4951033 43.8379873 10.4947132 43.8412217
# expected: go (slightly) left
Lucca_left 10.4947132 43.8412217 10.4974559 43.8389593

# expected: go straight
Garmisch_straight 11.1036204 47.5053893 11.1382746 47.5589938


# Mix of long routes to test for unexpected regressions
Vilnius_Augustow 25.338496 54.722023 22.9639599 53.8329705
Vilnius_Siauliai 25.338496 54.722023 23.3085362 55.9649502
Daerstetten_Nyon 7.495226 46.6587903 6.2382762 46.383953
Milan_Orelle 9.1453845 45.4909606 6.544235 45.2073609
Milan_Munich 9.1453845 45.4909606 11.5219952 48.1268249
Munich_Neuschwanstein 11.5219952 48.1268249 10.7359319 47.5546258
Munich_StAnton 11.5219952 48.1268249 10.2663241 47.1307314
Girona_Tossa 2.8207616 41.9840182 2.928948 41.7204919
